<ID|readonly|noverify>;<English>;<Comments>
germ_pzsflk40_sturer_emil_2;PzSfl V;
germ_amd_35_kwk_shop;▀ PzSpWg 204(f) (KwK 38 L/42);
germ_amd_35_kwk_0;▀ Panzerspähwagen 204(f) mit 5-cm KwK 38 L/42;
germ_amd_35_kwk_1;▀ PzSpWg 204(f);
germ_amd_35_kwk_2;PzSpWg 204(f);
germ_panzerwerfer_42_shop;▀ PzW 42;
germ_panzerwerfer_42_0;▀ 15-cm Panzerwerfer 42 auf Selbstfahrlafette SdKfz 4/1;
germ_panzerwerfer_42_1;▀ PzW 42;
germ_panzerwerfer_42_2;PzW 42;
shop/group/germ_radpanzer_tam_group;▀⛯ Radpanzer/TAM 2;
germ_radpanzer_90_shop;◄ Radpanzer 90;
germ_radpanzer_90_0;◄ Radpanzer 90;
germ_radpanzer_90_1;◄ Radpanzer 90;
germ_radpanzer_90_2;Radpanzer 90;
shop/group/germ_raketen_group;◄ Spz lg 12-3/RakJPz 2;
germ_raketenjagdpanzer_2_shop;◄ RakJPz 2 (e);
germ_raketenjagdpanzer_2_0;◄ Raketenjagdpanzer 2 (early production);
germ_raketenjagdpanzer_2_1;◄ RakJPz 2;
germ_raketenjagdpanzer_2_2;RakJPz 2;
germ_raketenjagdpanzer_2_hot_shop;◄ RakJPz 2 (l);
germ_raketenjagdpanzer_2_hot_0;◄ Raketenjagdpanzer 2 (late production);
germ_raketenjagdpanzer_2_hot_1;◄ RakJPz 2;
germ_raketenjagdpanzer_2_hot_2;RakJPz 2;
germ_ru251_shop;◄ Ru 251;
germ_ru251_0;◄ Spähpanzer Ru 251;
germ_ru251_1;◄ Ru 251;
germ_ru251_2;Ru 251;
germ_truck_sdkfz_6_2_tent_0;▀ SdKfz 6;
germ_truck_sdkfz_6_2_tent_1;▀ SdKfz 6;
germ_truck_sdkfz_6_2_tent_2;SdKfz 6;
germ_sdkfz_6_2_flak36_shop;▀ SdKfz 6/2;
germ_sdkfz_6_2_flak36_0;▀ Sonderkraftfahrzeug 6/2;
germ_sdkfz_6_2_flak36_1;▀ SdKfz 6/2;
germ_sdkfz_6_2_flak36_2;SdKfz 6;
air_defence/germ_sdkfz62_37mm_0;▀ SdKfz 6/2;
air_defence/germ_sdkfz62_37mm_1;▀ SdKfz 6/2;
air_defence/germ_sdkfz62_37mm_2;SdKfz 6;
wheeled_vehicles/germ_sdKfz_7_0;▀ SdKfz 7;
wheeled_vehicles/germ_sdKfz_7_1;▀ SdKfz 7;
wheeled_vehicles/germ_sdKfz_7_2;SdKfz 7;
air_defence/germ_sdkfz71_20mm_0;▀ SdKfz 7/1;
air_defence/germ_sdkfz71_20mm_1;▀ SdKfz 7/1;
air_defence/germ_sdkfz71_20mm_2;SdKfz 7;
shop/group/germ_flak_m44_group;▀ SdKfz 9/M44;
germ_sdkfz_9_flak37_shop;▀ SdKfz 9 (Flak 37);
germ_sdkfz_9_flak37_0;▀ 8,8-cm Flak 37 Selbstfahrlafette auf 18-ton Zugkraftwagen (SdKfz 9);
germ_sdkfz_9_flak37_1;▀ SdKfz 9;
germ_sdkfz_9_flak37_2;SdKfz 9;
germ_sdkfz_221_s_pz_b_41_shop;▀ SdKfz 221 (sPzB 41);
germ_sdkfz_221_s_pz_b_41_0;▀ Sonderkraftfahrzeug 221 (2.8-cm schwere Panzerbüchse 41);
germ_sdkfz_221_s_pz_b_41_1;▀ SdKfz 221;
germ_sdkfz_221_s_pz_b_41_2;SdKfz 221;
cn_sdkfz_222_early_shop;⛭ lePzSpWg (2-cm) A/1;
cn_sdkfz_222_early_0;⛭ Leichter Panzerspähwagen (2 cm) Ausführung A 1 Serie (SdKfz 222);
cn_sdkfz_222_early_1;⛭ lePzSpWg A;
cn_sdkfz_222_early_2;lePzSpWg;
wheeled_vehicles/germ_sdKfz_222_light_0;▀ lePzSpWg (2-cm) B/5;
wheeled_vehicles/germ_sdKfz_222_light_1;▀ lePzSpWg B;
wheeled_vehicles/germ_sdKfz_222_light_2;lePzSpWg;
wheeled_vehicles/germ_sdKfz_222_0;▀ lePzSpWg (2-cm) B/5;
wheeled_vehicles/germ_sdKfz_222_1;▀ lePzSpWg B;
wheeled_vehicles/germ_sdKfz_222_2;lePzSpWg;
germ_sdkfz_222_shop;▀ lePzSpWg (2-cm) B/5;
germ_sdkfz_222_0;▀ Leichter Panzerspähwagen (2 cm) Ausführung B 5 Serie (SdKfz 222);
germ_sdkfz_222_1;▀ lePzSpWg B;
germ_sdkfz_222_2;lePzSpWg;
wheeled_vehicles/germ_sdKfz_232_0;▀ SdKfz 232;
wheeled_vehicles/germ_sdKfz_232_1;▀ SdKfz 232;
wheeled_vehicles/germ_sdKfz_232_2;SdKfz 232;
germ_sdkfz_234_1_shop;▀ SdKfz 234/1;
germ_sdkfz_234_1_0;▀ Sonderkraftfahrzeug 234/1;
germ_sdkfz_234_1_1;▀ SdKfz 234/1;
germ_sdkfz_234_1_2;SdKfz 234;
germ_sdkfz_234_2_shop;▀ SdKfz 234/2;
germ_sdkfz_234_2_0;▀ Sonderkraftfahrzeug 234/2;
germ_sdkfz_234_2_1;▀ SdKfz 234/2;
germ_sdkfz_234_2_2;SdKfz 234;
germ_sdkfz_234_2_td_shop;"▀ SdKfz 234/2 ""18""";
germ_sdkfz_234_2_td_0;"▀ Sonderkraftfahrzeug 234/2 ""18""";
germ_sdkfz_234_2_td_1;▀ SdKfz 234/2;
germ_sdkfz_234_2_td_2;SdKfz 234;
germ_sdkfz_234_3_shop;▀ SdKfz 234/3;
germ_sdkfz_234_3_0;▀ Sonderkraftfahrzeug 234/3;
germ_sdkfz_234_3_1;▀ SdKfz 234/3;
germ_sdkfz_234_3_2;SdKfz 234;
germ_sdkfz_234_4_shop;▀ SdKfz 234/4;
germ_sdkfz_234_4_0;▀ Sonderkraftfahrzeug 234/4;
germ_sdkfz_234_4_1;▀ SdKfz 234/4;
germ_sdkfz_234_4_2;SdKfz 234;
wheeled_vehicles/germ_sdKfz_251_0;▀ SdKfz 251/1;
wheeled_vehicles/germ_sdKfz_251_1;▀ SdKfz 251/1;
wheeled_vehicles/germ_sdKfz_251_2;SdKfz 251;
germ_sdkfz_251_9_shop;▀ SdKfz 251/9;
germ_sdkfz_251_9_0;▀ Sonderkraftfahrzeug 251/9;
germ_sdkfz_251_9_1;▀ SdKfz 251/9;
germ_sdkfz_251_9_2;SdKfz 251;
germ_sdkfz_251_10_shop;▀ SdKfz 251/10 A;
germ_sdkfz_251_10_0;▀ Sonderkraftfahrzeug 251/10 Ausführung A Ungepanzerte;
germ_sdkfz_251_10_1;▀ SdKfz 251/10;
germ_sdkfz_251_10_2;SdKfz 251;
germ_sdkfz_251_21_shop;▀ SdKfz 251/21;
germ_sdkfz_251_21_0;▀ Sonderkraftfahrzeug 251/21;
germ_sdkfz_251_21_1;▀ SdKfz 251/21;
germ_sdkfz_251_21_2;SdKfz 251;
ussr_sdkfz_251_21_kit_3rank_shop;▂ SdKfz 251/21;
ussr_sdkfz_251_21_kit_3rank_0;▂ Sonderkraftfahrzeug 251/21;
ussr_sdkfz_251_21_kit_3rank_1;▂ SdKfz 251/21;
ussr_sdkfz_251_21_kit_3rank_2;SdKfz 251;
germ_sdkfz_251_22_shop;▀ SdKfz 251/22;
germ_sdkfz_251_22_0;▀ Sonderkraftfahrzeug 251/22;
germ_sdkfz_251_22_1;▀ SdKfz 251/22;
germ_sdkfz_251_22_2;SdKfz 251;
germ_spz_12_3_shop;▀ SPz lg 12-3, LGs M40A1, Panzerabwehr;
germ_spz_12_3_0;▀ Schützenpanzer, lang, Typ 12-3, mit 106 mm Leichtgeschütz M40A1;
germ_spz_12_3_1;▀ SPz lg 12-3;
germ_spz_12_3_2;SPz lg 12-3;
germ_spz_oerlikon_raketenautomat_shop;▀ SPz lg 12-3 (Raketenwerfer);
germ_spz_oerlikon_raketenautomat_0;▀ Schützenpanzer, lang, Typ 12-3, mit 8-cm Oerlikon Raketenwerfer;
germ_spz_oerlikon_raketenautomat_1;▀ SPz lg 12-3;
germ_spz_oerlikon_raketenautomat_2;SPz lg 12-3;
germ_stug_III_ausf_A_shop;▀ StuG III A;
germ_stug_III_ausf_A_0;▀ Sturmgeschütz III Ausführung A (SdKfz 142);
germ_stug_III_ausf_A_1;▀ StuG III A;
germ_stug_III_ausf_A_2;StuG III;
tracked_vehicles/germ_stugIII_0;▀ StuG III A;
tracked_vehicles/germ_stugIII_1;▀ StuG III A;
tracked_vehicles/germ_stugIII_2;StuG III;
tracked_vehicles/germ_stugIIID_0;▀ StuG III D;
tracked_vehicles/germ_stugIIID_1;▀ StuG III D;
tracked_vehicles/germ_stugIIID_2;StuG III;
germ_stug_III_ausf_F_shop;▀ StuG III F;
germ_stug_III_ausf_F_0;▀ Sturmgeschütz III Ausführung F (SdKfz 142/1);
germ_stug_III_ausf_F_1;▀ StuG III F;
germ_stug_III_ausf_F_2;StuG III;
germ_stug_III_ausf_G_shop;▀ StuG III G;
germ_stug_III_ausf_G_0;▀ Sturmgeschütz III Ausführung G (SdKfz 142/1);
germ_stug_III_ausf_G_1;▀ StuG III G;
germ_stug_III_ausf_G_2;StuG III;
it_stug_III_ausf_G_shop;╝ StuG III G;
it_stug_III_ausf_G_0;╝ Sturmgeschütz III Ausführung G (SdKfz 142/1);
it_stug_III_ausf_G_1;╝ StuG III G;
it_stug_III_ausf_G_2;StuG III;
tracked_vehicles/germ_stugIV_0;▀ StuG IV;
tracked_vehicles/germ_stugIV_1;▀ StuG IV;
tracked_vehicles/germ_stugIV_2;StuG IV;
germ_stuh_III_ausf_G_shop;▀ StuH 42 G;
germ_stuh_III_ausf_G_0;▀ Sturmhaubitze 42 Ausführung G (SdKfz 142/2);
germ_stuh_III_ausf_G_1;▀ StuH 42 G;
germ_stuh_III_ausf_G_2;StuH 42;
shop/group/germ_sturmpanzer_221_group;▀ StuPz II/SdKfz 221;
germ_sturmpanzer_II_shop;▀ StuPz II;
germ_sturmpanzer_II_0;▀ 15-cm sIG 33 auf Fahrgestell Panzerkampfwagen II (Sf) Sturmpanzer II;
germ_sturmpanzer_II_1;▀ StuPz II;
germ_sturmpanzer_II_2;StuPz II;
germ_sturmpanzer_IV_brummbar_shop;▀ StuPz 43 II;
germ_sturmpanzer_IV_brummbar_0;▀ Sturmgeschütz auf Panzer IV mit der neuen 15-cm-Skoda-sIG Ausführung II (SdKfz 166);
germ_sturmpanzer_IV_brummbar_1;▀ StuPz 43 II;
germ_sturmpanzer_IV_brummbar_2;StuPz 43;
germ_sturmmorser_sturmtiger_shop;▀ Sturmtiger;
germ_sturmmorser_sturmtiger_0;▀ Sturmmörserwagen 606/4 mit 38-cm RW 61 Sturmtiger;
germ_sturmmorser_sturmtiger_1;▀ Sturmtiger;
germ_sturmmorser_sturmtiger_2;Sturmtiger;
germ_sturmmorser_sturmtiger_event_shop;▀ Sturmtiger;
germ_sturmmorser_sturmtiger_event_0;▀ Sturmmörserwagen 606/4 mit 38-cm RW 61 Sturmtiger;
germ_sturmmorser_sturmtiger_event_1;▀ Sturmtiger;
germ_sturmmorser_sturmtiger_event_2;Sturmtiger;
germ_th_400_shop;⋟ TH400;
germ_th_400_0;⋟ Thyssen-Henschel TH400;
germ_th_400_1;⋟ TH400;
germ_th_400_2;TH400;
germ_th_800_bismark_shop;⋟ TH800;
germ_th_800_bismark_0;⋟ Thyssen-Henschel TH800;
germ_th_800_bismark_1;⋟ TH800;
germ_th_800_bismark_2;TH800;
germ_vt_1_2_shop;◄ VT 1-2;
germ_vt_1_2_0;◄ Versuchsträger 1-2;
germ_vt_1_2_1;◄ VT 1-2;
germ_vt_1_2_2;VT;
germ_waffentrager_krupp_steyr_shop;▀ Waffenträger (KS);
germ_waffentrager_krupp_steyr_0;▀ Waffenträger mit 8,8-cm Pak 43 (Krupp-Steyr);
germ_waffentrager_krupp_steyr_1;▀ Waffenträger (KS);
germ_waffentrager_krupp_steyr_2;Waffenträger (KS);
tracked_vehicles/germ_wespe_0;▀ Wespe;
tracked_vehicles/germ_wespe_1;▀ Wespe;
tracked_vehicles/germ_wespe_2;Wespe;
germ_wiesel_1_tow_shop;◄ Wiesel 1A2;
germ_wiesel_1_tow_0;◄ Waffenträger Wiesel 1A2;
germ_wiesel_1_tow_1;◄ Wiesel 1A2;
germ_wiesel_1_tow_2;Wiesel 1;
germ_wiesel_1_mk20_shop;◄ Wiesel 1A4;
germ_wiesel_1_mk20_0;◄ Waffenträger Wiesel 1A4;
germ_wiesel_1_mk20_1;◄ Wiesel 1A4;
germ_wiesel_1_mk20_2;Wiesel 1;
shop/group/germ_wiesel_gepard_group;▀ Wiesel 2/Gepard 1;
germ_wiesel_2_adwc_shop;◄ Wiesel 2 leFlaSys;
germ_wiesel_2_adwc_0;◄ Waffenträger Wiesel 2 leichtes Flugabwehrsystem;
germ_wiesel_2_adwc_1;◄ Wiesel 2;
germ_wiesel_2_adwc_2;Wiesel 2;
wheeled_vehicles/germ_kubelwagen_0;▀ Type 82/0 Kübelwagen;
wheeled_vehicles/germ_kubelwagen_1;▀ Type 82/0 Kübelwagen;
wheeled_vehicles/germ_kubelwagen_2;Type 82 Kübelwagen;
;;
;;
Vehicles (USSR) [Military designations];;
shop/group/ussr_2s_group;▂ 2S1/2S3M;
ussr_2s1_shop;▂ 2S1 Gvozdika;
ussr_2s1_0;▂ 2S1 Gvozdika;
ussr_2s1_1;▂ 2S1 Gvozdika;
ussr_2s1_2;2S1 Gvozdika;
it_2s1_shop;◔ 2S1 Gvozdika;
it_2s1_0;◔ 2S1 Gvozdika;
it_2s1_1;◔ 2S1 Gvozdika;
it_2s1_2;2S1 Gvozdika;
ussr_zprk_2s6_shop;▂ 2S6 2K22 Tunguska;
ussr_zprk_2s6_0;▂ 2S6 2K22 Tunguska 'SA-19 'Grison'';
ussr_zprk_2s6_1;▂ 2S6 2K22 Tunguska;
ussr_zprk_2s6_2;2S6 Tunguska;
ussr_2s19_m1_shop;▂ 2S19M1 Msta-S;
ussr_2s19_m1_0;▂ 2S19M1 Msta-S;
ussr_2s19_m1_1;▂ 2S19M1 Msta-S;
ussr_2s19_m1_2;2S19 Msta-S;
ussr_2s19_m2_shop;▂ 2S19M2 Msta-SM2;
ussr_2s19_m2_0;▂ 2S19M2 Msta-SM2;
ussr_2s19_m2_1;▂ 2S19M2 Msta-SM2;
ussr_2s19_m2_2;2S19 Msta-S;
ussr_2s25_shop;▂ 2S25 Sprut-SD;
ussr_2s25_0;▂ 2S25 Sprut-SD;
ussr_2s25_1;▂ 2S25 Sprut-SD;
ussr_2s25_2;2S25 Sprut-SD;
ussr_2s25m_shop;▂ 2S25M Sprut-SDM1;
ussr_2s25m_0;▂ 2S25M Sprut-SDM1;
ussr_2s25m_1;▂ 2S25M Sprut-SD;
ussr_2s25m_2;2S25 Sprut-SD;
shop/group/uk_9a33_35_group;☸ 9A33BM2/9A35M;
uk_9a33bm2_shop;☸ 9A33BM2 Osa-AK;
uk_9a33bm2_0;☸ 9A33BM2 Osa-AK 'SA-8B 'Gecko Mod-0'';
uk_9a33bm2_1;☸ 9A33BM2 Osa-AK;
uk_9a33bm2_2;9A33 Osa;
shop/group/ussr_9a33_35_group;▂ 9A33M3/9A35M2;
ussr_9a33bm3_shop;▂ 9A33M3 Osa-AKM;
ussr_9a33bm3_0;▂ 9A33M3 Osa-AKM 'SA-8B 'Gecko Mod-1'';
ussr_9a33bm3_1;▂ 9A33M3 Osa-AKM;
ussr_9a33bm3_2;9A33 Osa;
germ_9a33bm3_shop;◊ 9A33M3 Osa-AKM;
germ_9a33bm3_0;◊ 9A33M3 Osa-AKM 'SA-8B 'Gecko Mod-1'';
germ_9a33bm3_1;◊ 9A33M3 Osa-AKM;
germ_9a33bm3_2;9A33 Osa;
shop/group/it_9a33_35_group;╏◔ 9A33M3/9A35M;
it_9a33bm3_shop;╏ 9A33M3 Osa-AKM;
it_9a33bm3_0;╏ 9A33M3 Osa-AKM 'SA-8B 'Gecko Mod-1'';
it_9a33bm3_1;╏ 9A33M3 Osa-AKM;
it_9a33bm3_2;9A33 Osa;
germ_9a35_m_shop;◊ 9A35M Strela-10M;
germ_9a35_m_0;◊ 9A35M Strela-10M;
germ_9a35_m_1;◊ 9A35M Strela-10M;
germ_9a35_m_2;9A35 Strela-10;
uk_9a35_m_shop;☸ 9A35M Strela-10M;
uk_9a35_m_0;☸ 9A35M Strela-10M;
uk_9a35_m_1;☸ 9A35M Strela-10M;
uk_9a35_m_2;9A35 Strela-10;
it_9a35_m_shop;◔ 9A35M Strela-10M;
it_9a35_m_0;◔ 9A35M Strela-10M;
it_9a35_m_1;◔ 9A35M Strela-10M;
it_9a35_m_2;9A35 Strela-10;
ussr_9a35_m2_shop;▂ 9A35M2 Strela-10M2;
ussr_9a35_m2_0;▂ 9A35M2 Strela-10M2;
ussr_9a35_m2_1;▂ 9A35M2 Strela-10M2;
ussr_9a35_m2_2;9A35 Strela-10;
shop/group/ussr_buk_m3_fcs_group;▂ 9K37M Buk-M3;
ussr_buk_m3_launcher_shop;▂ 9K37M Buk-M3 (TEL);
ussr_buk_m3_launcher_0;"▂ 9K37M Buk-M3 ""SA-27 Gullum"" (target acquisition radar)";
ussr_buk_m3_launcher_1;▂ 9K37M Buk-M3;
ussr_buk_m3_launcher_2;9K37 Buk;
ussr_buk_m3_fcs_shop;▂ 9K37M Buk-M3 (TAR);
ussr_buk_m3_fcs_0;"▂ 9K37M Buk-M3 ""SA-27 Gullum"" (transporter erector launcher)";
ussr_buk_m3_fcs_1;▂ 9K37M Buk-M3;
ussr_buk_m3_fcs_2;9K37 Buk;
wheeled_vehicles/ussr_9k_72_launcher_0;▂ 9K72 Elbrus;
wheeled_vehicles/ussr_9k_72_launcher_1;▂ 9K72 Elbrus;
wheeled_vehicles/ussr_9k_72_launcher_2;9K72 Elbrus;
shop/group/cn_tor_hq_group;␗ 9K331/HQ-17;
cn_tor_m1_shop;␗ 9K331 Tor-M1;
cn_tor_m1_0;␗ 9K331 Tor-M1 'SA-15 'Gauntlet'';
cn_tor_m1_1;␗ 9K331 Tor-M1;
cn_tor_m1_2;9K331 Tor-M1;
ussr_9p157_shop;▂ 9P157-2 Khrizantema-S;
ussr_9p157_0;▂ 9P157-2 Khrizantema-S;
ussr_9p157_1;▂ 9P157-2 Khrizantema-S;
ussr_9p157_2;9P157 Khrizantema-S;
wheeled_vehicles/ussr_ba10_0;▂ BA-10;
wheeled_vehicles/ussr_ba10_1;▂ BA-10;
wheeled_vehicles/ussr_ba10_2;BA-10;
ussr_ba_11_shop;▂ BA-11;
ussr_ba_11_0;▂ Broneavtomobil 11;
ussr_ba_11_1;▂ BA-11;
ussr_ba_11_2;BA-11;
wheeled_vehicles/ussr_ba64_0;▂ BA-64;
wheeled_vehicles/ussr_ba64_1;▂ BA-64;
wheeled_vehicles/ussr_ba64_2;BA-64;
wheeled_vehicles/ussr_bm_21_grad_0;▂ BM-21 Grad;
wheeled_vehicles/ussr_bm_21_grad_1;▂ BM-21 Grad;
wheeled_vehicles/ussr_bm_21_grad_2;BM-21 Grad;
ussr_bmd_4_shop;▂ BMD-4;
ussr_bmd_4_0;▂ BMD-4;
ussr_bmd_4_1;▂ BMD-4;
ussr_bmd_4_2;BMD-4;
ussr_bmd_4m_shop;▂ BMD-4M;
ussr_bmd_4m_0;▂ BMD-4M;
ussr_bmd_4m_1;▂ BMD-4M;
ussr_bmd_4m_2;BMD-4;
ussr_bmd_4m2_shop;▂ BMD-4M2;
ussr_bmd_4m2_0;▂ BMD-4M2;
ussr_bmd_4m2_1;▂ BMD-4M2;
ussr_bmd_4m2_2;BMD-4;
shop/group/ussr_bmp_1_group;▂ BMP-1/Oby. 906;
ussr_bmp_1_shop;▂ BMP-1;
ussr_bmp_1_0;▂ BMP-1;
ussr_bmp_1_1;▂ BMP-1;
ussr_bmp_1_2;BMP-1;
ussr_apc_bmp_1_0;▂ BMP-1;
ussr_apc_bmp_1_1;▂ BMP-1;
ussr_apc_bmp_1_2;BMP-1;
germ_bmp_1_ddr_shop;◊ BMP-1;
germ_bmp_1_ddr_0;◊ Schützenpanzer BMP-1;
germ_bmp_1_ddr_1;◊ BMP-1;
germ_bmp_1_ddr_2;BMP-1;
shop/group/ussr_bmp_2_group;▂ BMP-2/Oby. 685;
ussr_bmp_2_shop;▂ BMP-2;
ussr_bmp_2_0;▂ BMP-2;
ussr_bmp_2_1;▂ BMP-2;
ussr_bmp_2_2;BMP-2;
ussr_bmp_2m_shop;▂ BMP-2M;
ussr_bmp_2m_0;▂ BMP-2M;
ussr_bmp_2m_1;▂ BMP-2M;
ussr_bmp_2m_2;BMP-2;
sw_bmp_2md_shop;⛮ BMP-2MD;
sw_bmp_2md_0;⛮ BMP-2MD;
sw_bmp_2md_1;⛮ BMP-2MD;
sw_bmp_2md_2;BMP-2;
shop/group/ussr_bmp_3_group;▂ BMP-3/2S25;
ussr_bmp_3_shop;▂ BMP-3;
ussr_bmp_3_0;▂ BMP-3;
ussr_bmp_3_1;▂ BMP-3;
ussr_bmp_3_2;BMP-3;
ussr_bt_5_shop;▂ BT-5 obr. 1933;
ussr_bt_5_0;▂ BT-5 obrazets 1933;
ussr_bt_5_1;▂ BT-5;
ussr_bt_5_2;BT-5;
cn_bt_5_shop;⛭ BT-5 obr. 1933;
cn_bt_5_0;⛭ BT-5 obrazets 1933;
cn_bt_5_1;⛭ BT-5;
cn_bt_5_2;BT-5;
ussr_rbt_5_shop;▂ RBT-5;
ussr_rbt_5_0;▂ RBT-5;
ussr_rbt_5_1;▂ RBT-5;
ussr_rbt_5_2;BT-5;
ussr_bt_7_1937_shop;▂ BT-7 obr. 1937;
ussr_bt_7_1937_0;▂ BT-7 obrazets 1937;
ussr_bt_7_1937_1;▂ BT-7;
ussr_bt_7_1937_2;BT-7;
tracked_vehicles/ussr_bt7_0;▂ BT-7 obr. 1937;
tracked_vehicles/ussr_bt7_1;▂ BT-7;
tracked_vehicles/ussr_bt7_2;BT-7;
ussr_bt_7_1937_td_shop;▹ BT-7 obr. 1937;
ussr_bt_7_1937_td_0;▹ BT-7 obrazets 1937;
ussr_bt_7_1937_td_1;▹ BT-7;
ussr_bt_7_1937_td_2;BT-7;
ussr_bt_7_1937_race_shop;▂ BT-7 obr. 1937;
ussr_bt_7_1937_race_0;▂ BT-7 obrazets 1937;
ussr_bt_7_1937_race_1;▂ BT-7;
ussr_bt_7_1937_race_2;BT-7;
ussr_bt_7a_f32_shop;▂ BT-7A (F-32);
ussr_bt_7a_f32_0;▂ BT-7A (F-32);
ussr_bt_7a_f32_1;▂ BT-7A;
ussr_bt_7a_f32_2;BT-7;
ussr_bt_7_m_shop;▂ BT-7M;
ussr_bt_7_m_0;▂ BT-7M;
ussr_bt_7_m_1;▂ BT-7M;
ussr_bt_7_m_2;BT-7;
shop/group/ussr_btr_zis_group;▂ BTR/ZiS;
ussr_btr_80a_shop;▂ BTR-80A;
ussr_btr_80a_0;▂ BTR-80A;
ussr_btr_80a_1;▂ BTR-80A;
ussr_btr_80a_2;BTR-80;
it_btr_80a_hungary_shop;◔ BTR-80A;
it_btr_80a_hungary_0;◔ BTR-80A;
it_btr_80a_hungary_1;◔ BTR-80A;
it_btr_80a_hungary_2;BTR-80;
shop/group/md_btr_80_group;▊ BTR-80A;
md_btr_80a_shop;▊ BTR-80A;
md_btr_80a_0;▊ BTR-80A;
md_btr_80a_1;▊ BTR-80A;
md_btr_80a_2;BTR-80;
md_btr_80a_uparmor_shop;▊ BTR-80A-U;
md_btr_80a_uparmor_0;▊ BTR-80A-U;
md_btr_80a_uparmor_1;▊ BTR-80A;
md_btr_80a_uparmor_2;BTR-80;
md_btr_80a_projector_shop;▊ BTR-80A-P;
md_btr_80a_projector_0;▊ BTR-80A-P;
md_btr_80a_projector_1;▊ BTR-80A;
md_btr_80a_projector_2;BTR-80;
md_btr_80a_uparmor_projector_shop;▊ BTR-80A-UP;
md_btr_80a_uparmor_projector_0;▊ BTR-80A-UP;
md_btr_80a_uparmor_projector_1;▊ BTR-80A;
md_btr_80a_uparmor_projector_2;BTR-80;
ussr_btr_82at_shop;▂ BTR-82AT;
ussr_btr_82at_0;▂ BTR-82AT;
ussr_btr_82at_1;▂ BTR-82AT;
ussr_btr_82at_2;BTR-82;
ussr_apc_btr_152_0;▂ BTR-152;
ussr_apc_btr_152_1;▂ BTR-152;
ussr_apc_btr_152_2;BTR-152;
ussr_btr_152a_shop;▂ BTR-152A;
ussr_btr_152a_0;▂ BTR-152A;
ussr_btr_152a_1;▂ BTR-152A;
ussr_btr_152a_2;BTR-152;
ussr_btr_152d_shop;▂ BTR-152D;
ussr_btr_152d_0;▂ BTR-152D;
ussr_btr_152d_1;▂ BTR-152D;
ussr_btr_152d_2;BTR-152;
ussr_btr_zd_shop;▂ BTR-ZD Skrezhet;
ussr_btr_zd_0;▂ BTR-ZD Skrezhet;
ussr_btr_zd_1;▂ BTR-ZD Skrezhet;
ussr_btr_zd_2;BTR-D Skrezhet;
wheeled_vehicles/ussr_motobike_0;▂ Dnepr M-72;
wheeled_vehicles/ussr_motobike_1;▂ Dnepr M-72;
wheeled_vehicles/ussr_motobike_2;Dnepr M-72;
ussr_garford_putilov_shop;▂ Garford-Putilov;
ussr_garford_putilov_0;▂ Garford-Putilov;
ussr_garford_putilov_1;▂ Garford-Putilov;
ussr_garford_putilov_2;Garford-Putilov;
uk_garford_putilov_shop;▄ Garford-Putilov;
uk_garford_putilov_0;▄ Garford-Putilov;
uk_garford_putilov_1;▄ Garford-Putilov;
uk_garford_putilov_2;Garford-Putilov;
uk_garford_putilov_event_shop;▄ Garford-Putilov;
uk_garford_putilov_event_0;▄ Garford-Putilov;
uk_garford_putilov_event_1;▄ Garford-Putilov;
uk_garford_putilov_event_2;Garford-Putilov;
germ_garford_putilov_shop;◄ Garford-Putilov;
germ_garford_putilov_0;◄ Garford-Putilov;
germ_garford_putilov_1;◄ Garford-Putilov;
germ_garford_putilov_2;Garford-Putilov;
germ_garford_putilov_event_shop;◄ Garford-Putilov;
germ_garford_putilov_event_0;◄ Garford-Putilov;
germ_garford_putilov_event_1;◄ Garford-Putilov;
germ_garford_putilov_event_2;Garford-Putilov;
wheeled_vehicles/ussr_gaz_67_0;▂ GAZ-67;
wheeled_vehicles/ussr_gaz_67_1;▂ GAZ-67;
wheeled_vehicles/ussr_gaz_67_2;GAZ-67;
ussr_gaz_4m_shop;▂ GAZ-AAA (PM1910);
ussr_gaz_4m_0;▂ GAZ-AAA (Pulemyot Maxima PM1910);
ussr_gaz_4m_1;▂ GAZ-AAA;
ussr_gaz_4m_2;GAZ-AAA;
ussr_truck_gaz_aaa_0;▂ GAZ-AAA (PM1910);
ussr_truck_gaz_aaa_1;▂ GAZ-AAA;
ussr_truck_gaz_aaa_2;GAZ-AAA;
ussr_gaz_dshk_shop;▂ GAZ-AAA (DShK);
ussr_gaz_dshk_0;▂ GAZ-AAA (12.7-mm DShK 1938);
ussr_gaz_dshk_1;▂ GAZ-AAA;
ussr_gaz_dshk_2;GAZ-AAA;
wheeled_vehicles/ussr_gaz_m1_0;▂ GAZ-M1;
wheeled_vehicles/ussr_gaz_m1_1;▂ GAZ-M1;
wheeled_vehicles/ussr_gaz_m1_2;GAZ-M1;
ussr_gaz_mm_72k_shop;▂ GAZ-MM (72-K);
ussr_gaz_mm_72k_0;▂ GAZ-MM (25 mm automatic air defense gun M1940 (72-K));
ussr_gaz_mm_72k_1;▂ GAZ-MM;
ussr_gaz_mm_72k_2;GAZ-MM;
ussr_gaz_mm_72k_without_crew_shop;▂ GAZ-MM (72-K);
ussr_gaz_mm_72k_without_crew_0;▂ GAZ-MM (25 mm automatic air defense gun M1940 (72-K));
